Region,Seed,Team
KR,1,LZ
KR,2,SKT
KR,3,SSG
CN,1,EDG
CN,2,RNG
EU,1,G2
EU,2,MSF
NA,1,TSM
NA,2,IMT
LMS,1,FW
LMS,2,AHQ
SEA,1,GAM
NA,3,C9
EU,3,FNC
TR,1,FB
CN,3,WE
