 League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
WC,2017,Summer,International,RNG,1,0,SSG,33,Letme,Rumble,Mlxg,LeeSin,Xiaohu,Galio,Uzi,Tristana,Ming,Janna,CuVee,Camille,Ambition,Sejuani,Crown,Syndra,Ruler,Varus,CoreJJ,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380375?gameHash=73f829ab50cfc077
WC,2017,Summer,International,FW,0,1,TSM,54,MMD,Chogath,Karsa,Sejuani,Maple,Corki,Betty,Varus,SwordArT,Taric,Hauntzer,Gnar,Svenskeren,Gragas,Bjergsen,Syndra,Doublelift,Tristana,Biofrost,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380186?gameHash=53273aa4c96d6c65
WC,2017,Summer,International,WE,1,0,MSF,27,957,Maokai,Condi,JarvanIV,xiye,Leblanc,Mystic,Xayah,Ben,Janna,Alphari,Chogath,Maxlore,Sejuani,PowerOfEvil,Corki,Hans Sama,Tristana,IgNar,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380197?gameHash=5c57630cad44e928
WC,2017,Summer,International,TSM,1,0,WE,35,Hauntzer,Chogath,Svenskeren,Gragas,Bjergsen,Corki,Doublelift,Tristana,Biofrost,Rakan,957,Shen,Condi,Sejuani,xiye,Syndra,Mystic,Xayah,Ben,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390351?gameHash=38ec03c78e49db35
WC,2017,Summer,International,FW,0,1,MSF,47,MMD,Chogath,Karsa,Gragas,Maple,Corki,Betty,Jinx,SwordArT,Lulu,Alphari,Trundle,Maxlore,Sejuani,PowerOfEvil,Orianna,Hans Sama,KogMaw,IgNar,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390361?gameHash=7aceed6dc866f2b5
WC,2017,Summer,International,WE,1,0,FW,33,957,Rumble,Condi,Gragas,xiye,Galio,Mystic,Twitch,Ben,Janna,MMD,Shen,Karsa,JarvanIV,Maple,Vladimir,Betty,Tristana,SwordArT,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390437?gameHash=1641738d9a6750f6
WC,2017,Summer,International,MSF,1,0,TSM,46,Alphari,Shen,Maxlore,Gragas,PowerOfEvil,Leblanc,Hans Sama,Xayah,IgNar,Janna,Hauntzer,Renekton,Svenskeren,Sejuani,Bjergsen,Syndra,Doublelift,KogMaw,Biofrost,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390449?gameHash=4a5b7837b180cb69
WC,2017,Summer,International,MSF,1,0,FW,41,Alphari,Chogath,Maxlore,Gragas,PowerOfEvil,Cassiopeia,Hans Sama,Xayah,IgNar,Thresh,MMD,Shen,Karsa,JarvanIV,Maple,Ryze,Betty,Tristana,SwordArT,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390678?gameHash=d4f91503db875342
WC,2017,Summer,International,WE,1,0,TSM,25,957,Rumble,Condi,Sejuani,xiye,Jayce,Mystic,Caitlyn,Ben,Janna,Hauntzer,Chogath,Svenskeren,JarvanIV,Bjergsen,Ryze,Doublelift,Twitch,Biofrost,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380411?gameHash=6462c32f02f519f7
WC,2017,Summer,International,FW,0,1,WE,28,MMD,Shen,Karsa,JarvanIV,Maple,Orianna,Betty,Xayah,SwordArT,Lulu,957,Chogath,Condi,Gragas,xiye,Corki,Mystic,Caitlyn,Ben,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380417?gameHash=27c957c7644ee0d8
WC,2017,Summer,International,TSM,1,0,MSF,40,Hauntzer,Gnar,Svenskeren,Sejuani,Bjergsen,Cassiopeia,Doublelift,Twitch,Biofrost,Rakan,Alphari,Yasuo,Maxlore,JarvanIV,PowerOfEvil,Ryze,Hans Sama,Xayah,IgNar,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380421?gameHash=da147ddde340bd52
WC,2017,Summer,International,TSM,0,1,FW,25,Hauntzer,Chogath,Svenskeren,Gragas,Bjergsen,Cassiopeia,Doublelift,Tristana,Biofrost,Lulu,MMD,Renekton,Karsa,Sejuani,Maple,Corki,Betty,KogMaw,SwordArT,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380428?gameHash=b9208735d0315884
WC,2017,Summer,International,MSF,0,1,WE,45,Alphari,Maokai,Maxlore,RekSai,PowerOfEvil,Cassiopeia,Hans Sama,Varus,IgNar,Janna,957,Chogath,Condi,Sejuani,xiye,Lucian,Mystic,KogMaw,Ben,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380436?gameHash=66a9e29202902089
WC,2017,Summer,International,MSF,1,0,TSM,31,Alphari,Chogath,Maxlore,Gragas,PowerOfEvil,Orianna,Hans Sama,Xayah,IgNar,Taric,Hauntzer,Jayce,Svenskeren,Sejuani,Bjergsen,Ryze,Doublelift,KogMaw,Biofrost,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380443?gameHash=8087accf2f32c361
WC,2017,Summer,International,LZ,0,1,SSG,45,Khan,Jax,Cuzz,JarvanIV,Bdd,Syndra,PraY,Xayah,GorillA,Thresh,CuVee,Kennen,Ambition,Sejuani,Crown,Malzahar,Ruler,Tristana,CoreJJ,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290025?gameHash=ccc16d4b994672b2
WC,2017,Summer,International,LZ,0,1,SSG,30,Khan,Chogath,Cuzz,JarvanIV,Bdd,Orianna,PraY,Varus,GorillA,Lulu,CuVee,Shen,Ambition,Sejuani,Crown,Taliyah,Ruler,Tristana,CoreJJ,Taric,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290033?gameHash=35d44733aadca739
WC,2017,Summer,International,SSG,1,0,LZ,34,CuVee,Shen,Ambition,Sejuani,Crown,Lissandra,Ruler,Tristana,CoreJJ,Taric,Khan,Trundle,Cuzz,Gragas,Bdd,Taliyah,PraY,Varus,GorillA,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002290034?gameHash=8456a15e54ef0fa1
