 League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
WC,2017,Summer,International,C9,1,0,AHQ,25,Impact,Gnar,Contractz,Gragas,Jensen,Leblanc,Sneaky,Caitlyn,Smoothie,Janna,Ziv,Maokai,Mountain,JarvanIV,Westdoor,Fizz,AN,Twitch,Albis,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380496?gameHash=9241616d73daf704
WC,2017,Summer,International,SKT,1,0,EDG,39,Huni,Trundle,Blank,Sejuani,Faker,Orianna,Bang,Twitch,Wolf,Janna,Mouse,Maokai,Clearlove7,Gragas,Scout,Leblanc,iBoy,Tristana,Meiko,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380500?gameHash=54e643f62a9ba61d
WC,2017,Summer,International,LZ,1,0,IMT,31,Khan,JarvanIV,Cuzz,Khazix,Bdd,Taliyah,Pray,Tristana,GorillA,Karma,Flame,Maokai,Xmithie,Ezreal,Pobelter,Ryze,Cody Sun,Varus,Olleh,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390201?gameHash=908f760eae1d89bb
WC,2017,Summer,International,FNC,0,1,GAM,25,sOAZ,Maokai,Broxah,Elise,Caps,Ryze,Rekkles,Varus,Jesiz,Karma,Archie,Galio,Levi,Nocturne,Optimus,Kassadin,Noway,Tristana,Nevan,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390211?gameHash=f8e68ec8c68e3833
WC,2017,Summer,International,IMT,1,0,FNC,51,Flame,Jayce,Xmithie,Gragas,Pobelter,Taliyah,Cody Sun,KogMaw,Olleh,Janna,sOAZ,Chogath,Broxah,LeeSin,Caps,Ryze,Rekkles,Twitch,Jesiz,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380204?gameHash=57f7984262af06bf
WC,2017,Summer,International,LZ,1,0,GAM,24,Khan,JarvanIV,Cuzz,Gragas,BDD,Ryze,Pray,Xayah,GorillA,Rakan,Archie,Mordekaiser,Levi,Chogath,Optimus,Lucian,Noway,Tristana,Nevan,Karma,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380208?gameHash=81100f59a1c4aa8c
WC,2017,Summer,International,GAM,0,1,IMT,40,Archie,Chogath,Levi,Kayn,Optimus,Ryze,Noway,KogMaw,Nevan,Lulu,Flame,Shen,Xmithie,Gragas,Pobelter,Syndra,Cody Sun,Xayah,Olleh,Rakan,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390457?gameHash=31deac0c458aabd1
WC,2017,Summer,International,FNC,0,1,LZ,21,sOAZ,Maokai,Broxah,Sejuani,Caps,Syndra,Rekkles,Tristana,Jesiz,Rakan,Khan,Nasus,Cuzz,Gragas,BDD,Galio,Pray,Varus,GorillA,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002390468?gameHash=1a62f5eb1e08fa36
WC,2017,Summer,International,IMT,0,1,GAM,32,Flame,Shen,Xmithie,Gragas,Pobelter,Ryze,Cody Sun,KogMaw,Olleh,Janna,Archie,Urgot,Levi,Kayn,Optimus,Syndra,Noway,Ashe,Sya,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380319?gameHash=5154a2bb8b2bb254
WC,2017,Summer,International,LZ,1,0,FNC,32,Khan,Jayce,Cuzz,Sejuani,Bdd,Ryze,Pray,KogMaw,GorillA,Lulu,sOAZ,Renekton,Broxah,RekSai,Caps,Syndra,Rekkles,Twitch,Jesiz,Sona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380323?gameHash=29e9ccc11bdfb4b3
WC,2017,Summer,International,FNC,1,0,IMT,38,sOAZ,Nautilus,Broxah,RekSai,Caps,Cassiopeia,Rekkles,Xayah,Jesiz,Janna,Flame,Maokai,Xmithie,Ezreal,Pobelter,Orianna,Cody Sun,Tristana,Olleh,Lulu,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002380330?gameHash=2afeb9b1f9b4c1f8
